sentimento,comentarios
positive,"['receb', 'bem', 'antes', 'do', 'praz', 'estipul']"
positive,"['parabéns', 'loj', 'lannist', 'ador', 'compr', 'pel', 'internet', 'segur', 'e', 'prátic', 'parabéns', 'a', 'tod', 'feliz', 'pásco']"
neutral,"['aparelh', 'eficient', 'no', 'sit', 'a', 'marc', 'do', 'aparelh', 'esta', 'impress', 'com', 'desinfector', 'e', 'ao', 'cheg', 'esta', 'com', 'outr', 'nom', 'atualiz', 'com', 'a', 'marc', 'corret', 'uma', 'vez', 'que', 'é', 'o', 'mesm', 'aparelh']"
neutral,"['mas', 'um', 'pouc', 'trav', 'pel', 'valor', 'ta', 'boa']"
positive,"['vendedor', 'confiável', 'produt', 'ok', 'e', 'entreg', 'antes', 'do', 'praz']"
neutral,"['gost', 'de', 'sab', 'o', 'que', 'houv', 'sempr', 'receb', 'e', 'essa', 'compr', 'agor', 'me', 'decpcion']"
negative,['péssim']
positive,"['loj', 'not']"
positive,"['obrig', 'pel', 'atença', 'amim', 'dispens']"
positive,"['a', 'compr', 'foi', 'realiz', 'facil', 'a', 'entreg', 'foi', 'efetu', 'muit', 'antes', 'do', 'praz', 'dad', 'o', 'produt', 'já', 'comec', 'a', 'ser', 'usad', 'e', 'até', 'o', 'present', 'sem', 'problem']"
positive,"['relógi', 'muit', 'bonit', 'e', 'barat']"
negative,"['nã', 'gost', 'compr', 'gat', 'por', 'lebr']"
negative,"['sempr', 'compr', 'pel', 'internet', 'e', 'a', 'entreg', 'ocorr', 'antes', 'do', 'praz', 'combin', 'que', 'acredit', 'ser', 'o', 'praz', 'máxim', 'no', 'stark', 'o', 'praz', 'máxim', 'já', 'se', 'esgot', 'e', 'aind', 'nã', 'receb', 'o', 'produt']"
neutral,"['receb', 'exat', 'o', 'que', 'esper', 'as', 'dem', 'encomend', 'de', 'outr', 'vendedor', 'atras', 'mas', 'esta', 'cheg', 'no', 'praz']"
positive,['recom']
positive,"['muit', 'boa']"
positive,"['tô', 'complet', 'apaixon', 'loj', 'sup', 'respons', 'e', 'confiável']"
negative,"['nad', 'de', 'cheg', 'o', 'meu', 'ped']"
positive,"['muit', 'bom', 'muit', 'cheiros']"
positive,"['otim', 'vendedor', 'cheg', 'ate', 'antes', 'do', 'praz', 'ador', 'o', 'produt']"
positive,"['process', 'de', 'compr', 'tranquil', 'e', 'eficient']"
positive,"['tom', 'q', 'dur', 'pois', 'é', 'de', 'pelinh']"
negative,"['receb', 'soment', 'control', 'mid', 'split', 'estil', 'falt', 'control', 'remot', 'par', 'ar', 'condicion', 'consul']"
positive,['boa']
positive,"['mt', 'lind']"
positive,"['ocorr', 'tud', 'com', 'contrat', 'send', 'a', 'entreg', 'realiz', 'antes', 'do', 'praz', 'estou', 'satisfeit']"
positive,"['ame', 'ache', 'lind', 'muit', 'delic', 'ador']"
neutral,"['ótim', 'loj', 'par', 'parc', 'rápidíssim', 'produt', 'bem', 'embal', 'e', 'de', 'qualidad', 'só', 'o', 'cust', 'do', 'fret', 'que', 'foi', 'mei', 'azed']"
positive,"['recom', 'o', 'vendedor']"
negative,"['o', 'produt', 'nã', 'cheg', 'no', 'praz', 'estipul', 'e', 'caus', 'transtorn', 'pq', 'program', 'a', 'viag', 'de', 'fér', 'do', 'meu', 'filh', 'bas', 'no', 'praz', 'mor', 'na', 'bah', 'e', 'ele', 'em', 'cuiab', 'sozinh', 'agor', 'a', 'cas', 'está', 'vaz']"
positive,"['produt', 'entreg', 'com', 'solicit', 'e', 'com', 'muit', 'brevidad', 'parabéns']"
neutral,"['eu', 'compr', 'duas', 'unidad', 'e', 'só', 'receb', 'uma', 'e', 'agor', 'o', 'que', 'fac']"
neutral,"['produt', 'bom', 'porém', 'o', 'que', 'vei', 'par', 'mim', 'nã', 'condiz', 'com', 'a', 'fot', 'do', 'anúnci']"
negative,"['produt', 'muit', 'inferior', 'mal', 'acab']"
positive,"['o', 'kit', 'mochil', 'patrulh', 'canin', 'é', 'lind', 'meu', 'netinh', 'vai', 'amar', 'obrig']"
positive,['maravilh']
neutral,"['entreg', 'no', 'praz']"
positive,"['cumpr', 'o', 'promet', 'na', 'compr', 'e', 'com', 'o', 'uma', 'entreg', 'em', 'temp', 'satisfatóri']"
negative,"['ped', 'reembols', 'e', 'sem', 'respost', 'até', 'moment']"
positive,"['sup', 'ráp']"
positive,['satisfeit']
positive,"['esta', 'de', 'parabens', 'sempr', 'cheg', 'com', 'muiiit', 'antecedenc', 'muit', 'obrig']"
positive,"['ok', 'recom']"
neutral,"['produt', 'cheg', 'mas', 'meu', 'pc', 'nã', 'consegu', 'reconhec', 'as', 'port', 'usb']"
positive,"['produt', 'de', 'muit', 'boa', 'qualidad', 'cheg', 'antes', 'do', 'praz', 'promet']"
positive,"['entreg', 'muit', 'ráp', 'parabéns']"
negative,"['compr', 'tres', 'pacot', 'de', 'cinc', 'folh', 'cad', 'de', 'papel', 'transf', 'par', 'tec', 'escur', 'e', 'so', 'receb', 'dois']"
neutral,"['estav', 'falt', 'apen', 'um', 'produt', 'eu', 'receb', 'hoj', 'muit', 'obrig', 'tud', 'cert', 'att', 'elenic']"
positive,"['a', 'bols', 'térmic', 'além', 'de', 'lind', 'é', 'sup', 'espac', 'produt', 'de', 'acord', 'com', 'o', 'anunc', 'e', 'a', 'entreg', 'sup', 'ráp', 'entreg', 'bem', 'antes', 'do', 'praz']"
neutral,"['demor', 'de', 'mais', 'pra', 'entreg']"
positive,"['sup', 'rap', 'a', 'entreg', 'cheg', 'antes', 'da', 'dat']"
neutral,"['a', 'entreg', 'foi', 'divid', 'em', 'duas', 'nã', 'houv', 'comunic', 'do', 'loj', 'chegu', 'a', 'pens', 'que', 'só', 'hav', 'envi', 'part', 'do', 'produt']"
negative,"['nã', 'funcion', 'nã', 'faz', 'sincron']"
positive,"['recom', 'a', 'tod', 'os', 'client']"
neutral,['gost']
positive,['otim']
positive,"['gost', 'muit', 'do', 'jog', 'de', 'banh', 'a', 'estamp', 'flor', 'o', 'bord', 'tud', 'muit', 'bonit', 'ótim', 'produt']"
negative,"['cheg', 'apen', 'uma', 'pec', 'mas', 'na', 'not', 'e', 'na', 'garant', 'const', 'as', 'duas', 'joi']"
negative,"['eu', 'nã', 'receb', 'o', 'produt', 'e', 'const', 'no', 'sistem', 'que', 'eu', 'receb', 'além', 'de', 'pag', 'car', 'do', 'fret']"
negative,"['compr', 'o', 'relógi', 'unissex', 'e', 'envi', 'um', 'relógi', 'feminin', 'bem', 'menor', 'que', 'as', 'especific', 'do', 'anúnci']"
positive,"['sempr', 'compr', 'na', 'lannist', 'pra', 'mim', 'é', 'a', 'melhor', 'loj', 'on', 'lin']"
positive,"['produt', 'de', 'qualidad', 'excelent']"
positive,"['ótim', 'cust', 'benefíci']"
positive,['ok']
positive,"['gost', 'da', 'atençã', 'com', 'a', 'entreg']"
neutral,"['se', 'foss', 'vidr', 'tinh', 'quebr', 'vei', 'na', 'caix', 'sem', 'nenhum', 'proteçã', 'por', 'dentr', 'a', 'caix', 'estav', 'muit', 'amass', 'desculp', 'mas', 'gost', 'de', 'compr', 'de', 'vcs']"
negative,"['a', 'pec', 'nã', 'serv']"
negative,"['compr', 'o', 'produt', 'dia', 'de', 'fevereir', 'e', 'hoj', 'dia', 'de', 'marc', 'nã', 'for', 'entreg', 'na', 'minh', 'resident', 'nã', 'sei', 'se', 'os', 'correi', 'dess', 'brasil', 'e', 'péssim', 'ou', 'foi', 'a', 'própr', 'loj', 'que', 'demor', 'post']"
negative,"['fiz', 'minh', 'compr', 'faz', 'dias', 'e', 'nã', 'receb', 'aind', 'meu', 'produt', 'precis', 'melhor', 'nas', 'entreg']"
positive,"['esper', 'receb', 'esta', 'seman', 'o', 'que', 'nã', 'ser', 'tã', 'extravag', 'porém', 'mais', 'atraz', 'do', 'que', 'isso', 'me', 'far', 'desist', 'do', 'baratheon']"
