sentimento,comentarios
positive,recebi bem antes do prazo estipulado
positive,parabéns lojas lannister adorei comprar pela internet seguro e prático parabéns a todos feliz páscoa
positive,aparelho eficiente no site a marca do aparelho esta impresso como desinfector e ao chegar esta com outro nome atualizar com a marca correta uma vez que é o mesmo aparelho
positive,mas um pouco travando pelo valor ta boa
positive,vendedor confiável produto ok e entrega antes do prazo
negative,gostaria de saber o que houve sempre recebi e essa compra agora me decpcionou
negative,péssimo
positive,loja nota
positive,obrigado pela atençao amim dispensada
positive,a compra foi realizada facilmente a entrega foi efetuada muito antes do prazo dado o produto já começou a ser usado e até o presente sem problemas
positive,relógio muito bonito e barato
negative,não gostei comprei gato por lebre
negative,sempre compro pela internet e a entrega ocorre antes do prazo combinado que acredito ser o prazo máximo no stark o prazo máximo já se esgotou e ainda não recebi o produto
positive,recebi exatamente o que esperava as demais encomendas de outros vendedores atrasaram mas esta chegou no prazo
positive,recomendo
positive,muito boa
positive,tô completamente apaixonada loja super responsável e confiável
negative,nada de chegar o meu pedido
positive,muito bom muito cheiroso
positive,otimo vendedor chegou ate antes do prazo adorei o produto
positive,processo de compra tranquilo e eficiente
positive,tomara q dure pois é de pelinho
negative,recebi somente controle midea split estilo faltou controle remoto para ar condicionado consul
positive,boa
positive,mt lindo
positive,ocorreu tudo como contratado sendo a entrega realizada antes do prazo estou satisfeita
positive,amei achei lindo muito delicado adorei
positive,ótima loja para parceria rápidíssima produtos bem embalados e de qualidade só o custo do frete que foi meio azedo
positive,recomendo o vendedor
negative,o produto não chegou no prazo estipulado e causou transtorno pq programei a viagem de férias do meu filho baseado no prazo moro na bahia e ele em cuiabá sozinho agora a casa está vazia
positive,produto entregue como solicitado e com muita brevidade parabéns
neutral,eu comprei duas unidades e só recebi uma e agora o que faço
neutral,produto bom porém o que veio para mim não condiz com a foto do anúncio
negative,produto muito inferior mal acabado
positive,o kit mochila patrulha canina é lindo meu netinho vai amar obrigada
positive,maravilha
neutral,entrega no prazo
positive,cumpriu o prometido na compra e com o uma entrega em tempo satisfatório
negative,pedi reembolso e sem resposta até momento
positive,super rápido
positive,satisfeito
positive,estao de parabens sempre chega com muiiita antecedencia muito obrigada
positive,ok recomendo
neutral,produto chegou mas meu pc não conseguiu reconhecer as portas usb
positive,produto de muito boa qualidade chegou antes do prazo prometido
positive,entrega muito rápida parabéns
negative,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois
positive,estava faltando apenas um produto eu recebi hoje muito obrigada tudo certo att elenice
positive,a bolsa térmica além de linda é super espaçosa produto de acordo com o anunciado e a entrega super rápida entregou bem antes do prazo
negative,demorou de mais pra entrega
positive,super rapido a entrega chegou antes da data
neutral,a entrega foi dividida em duas não houve comunicado do loja cheguei a pensar que só haviam enviado parte do produto
negative,não funciona não faz sincronismo
positive,recomendo a todos os clientes
neutral,gostei
positive,otima
positive,gostei muito do jogo de banho a estampa florida o bordado tudo muito bonito ótimo produto
negative,chegou apenas uma peça mas na nota e na garantia constam as duas joias
negative,eu não recebi o produto e consta no sistema que eu recebi além de pagar caro do frete
negative,comprei o relógio unissex e enviaram um relógio feminino bem menor que as especificações do anúncio
positive,sempre compro na lannister pra mim é a melhor loja on line
positive,produto de qualidade excelente
positive,ótimo custo benefício
positive,ok
positive,gostei da atenção com a entrega
positive,se fosse vidro tinha quebrado veio na caixa sem nenhuma proteção por dentro a caixa estava muito amassada desculpe mas gosto de comprar de vcs
negative,a peça não serviu
negative,comprei o produto dia de fevereiro e hoje dia de marco não fora entregue na minha residência não sei se os correios desse brasil e péssimo ou foi a própria loja que demorou postar
negative,fiz minha compra faz dias e não recebi ainda meu produto precisa melhorar nas entregas
positive,espero receber esta semana o que não seria tão extravagante porém mais atrazo do que isso me faria desistir do baratheon
positive,entregou no prazo certo fiquei feliz com a compra que fiz
positive,lindo relógio adorei
neutral,comprei dois lustres pendentes com a parceira targaryen e só me enviaram um lustre abri reclamação mas ainda não recebi resposta aguardo solução por parte de lojas lannister
positive,muito bom alta qualidade
positive,produto bonito entregue bem valado e dentro do prazo recomendo
positive,muito bom
negative,faltou produto e os que recebi veio quebrado
positive,chegou dentro do prazo e o produto é de excelente qualidade acabou as dores nas costas estou dormindo muito bem
negative,aqui está descrevendo como entregue só que ate agora não recebi
positive,acho que rastreando o produto devia ser melhor e mais preciso mas no geral foi uma ótima experiência
positive,ainda não tive a oportunidade de testar
neutral,comecei a usar agora
positive,nada a declarar
neutral,comprar um produto correto na capa mas interno ser outro
neutral,entrega super rapida
neutral,fiz um pedido de garrafas de azeite chegaram num dia e as outras quase horas depois contato com a loja muito dificil tanto via e mail qto por telef o suspense terminou mas lá não compro mais
positive,o produto chegou muito rapido e de boa qualidade recomendo o produto
negative,não posso estou aguardando a chegada do produto que comprei logo que isso aconteça terei minha opinião formada
negative,comprei dois produtos e recebi somente um mandei dois emails para a loja e não tive nenhum retorno estou insatisfeita
neutral,não recomendaria esta loja nem pretendo voltar a comprar nela a mercadoria foi entregue após o prazo e quase mês após a compra no site das lannister costumam chegar antes do prazo estranhei muito
positive,recomendo
positive,atendeu minha expectativa
positive,entrega antes do prazo produto muito prático e de fácil manuseio
positive,otimo produto só nao veio manual mas sem problemas
positive,uma das peças não encaixava estava de diâmetro diferente eu tive que serrar e martelar para poder caber e encaixar de resto tudo ok
positive,excelente produto
positive,tudo certo
negative,demora na entrega detestei o atendimento e nunca mais compro baratheon quando vendia por eles mesmos era bem melhor
positive,produto muito bom
negative,o meu produto não chegou segundo o rastreio está parado em ribeirão preto sp
negative,produto deu defeito na vez de uso
positive,super recomendo produto profissional de qualidade
negative,até agora não recebi o produto
negative,a loja anuncia um produto e entrega outro
positive,muito bom e rapido quando vi ja tinha chegado
positive,o produto chegou muito bem
positive,otimo
neutral,apesar de ter sido entregue rapidamente substituíram a caixa meteoro pela caixa borne quando tentei reclamar nas lannister o sistema estaav fora do ar a guitarra e acessórios estavam corretos
positive,muito satisfeito
positive,parabéns para loja e revendedor apesar de ter demorado um pouco
positive,entregue dentro do prazo e com bom período de validade
positive,o jogo de toalhas é lindo mais bonito do que na foto amei
negative,produto foi entregue com umas das alças com problemas está faltando pino de fixação
negative,foi marcado o dia para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue o produto só foi entregue no dia
negative,loja além do frete ser muito caro o produto leva quase dias úteis para chegar na sua casa
negative,recebi bem rápido porém veio outro produto e não o que eu pedi o modelo veio diferente a cor veio uma capinha que não tem zíper enfim não recomendo
positive,sempre comprei no stark e estou satisfeito
positive,fiz a compra por tabela e graças a deus deu tudo certo fico muito grato pode confiar
negative,cancelaram a minha compra um dia antes da entrega liguei para a lannister e os atendentes não sabiam o que estava acontecendo uma bagunça agora estou esperando para ver se vai ser cobrado
positive,produto de qualidade e eficiência na entrega recebi muito antes do combinado recomendo
positive,produto bom veio no dentro do prazo chegou em dias estão de parabéns
positive,tudo ok o baratheon sempre responsável com a suas entregas
negative,o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei
negative,e muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada
positive,a
positive,entrega rapida
positive,foi bom
positive,mercadoria certa entregue no prazo combinado grata
negative,muito ruim
negative,passou dos dias previstos
