sentimento,comentarios
positive,"['receb', 'bem', 'antes', 'praz', 'estipul']"
positive,"['parabéns', 'loj', 'lannist', 'ador', 'compr', 'internet', 'segur', 'prátic', 'parabéns', 'tod', 'feliz', 'pásco']"
positive,"['aparelh', 'eficient', 'sit', 'marc', 'aparelh', 'impress', 'desinfector', 'cheg', 'outr', 'nom', 'atualiz', 'marc', 'corret', 'vez', 'aparelh']"
positive,"['mas', 'pouc', 'trav', 'valor', 'ta', 'boa']"
positive,"['vendedor', 'confiável', 'produt', 'ok', 'entreg', 'antes', 'praz']"
negative,"['gost', 'sab', 'sempr', 'receb', 'compr', 'agor', 'decpcion']"
negative,['péssim']
positive,"['loj', 'not']"
positive,"['obrig', 'atença', 'amim', 'dispens']"
positive,"['compr', 'realiz', 'facil', 'entreg', 'efetu', 'antes', 'praz', 'dad', 'produt', 'comec', 'usad', 'present', 'problem']"
positive,"['relógi', 'bonit', 'barat']"
negative,"['nã', 'gost', 'compr', 'gat', 'lebr']"
negative,"['sempr', 'compr', 'internet', 'entreg', 'ocorr', 'antes', 'praz', 'combin', 'acredit', 'praz', 'máxim', 'stark', 'praz', 'máxim', 'esgot', 'aind', 'nã', 'receb', 'produt']"
positive,"['receb', 'exat', 'esper', 'dem', 'encomend', 'outr', 'vendedor', 'atras', 'mas', 'cheg', 'praz']"
positive,['recom']
positive,['boa']
positive,"['tô', 'complet', 'apaixon', 'loj', 'sup', 'respons', 'confiável']"
negative,"['nad', 'cheg', 'ped']"
positive,"['bom', 'cheiros']"
positive,"['otim', 'vendedor', 'cheg', 'ate', 'antes', 'praz', 'ador', 'produt']"
positive,"['process', 'compr', 'tranquil', 'eficient']"
positive,"['tom', 'q', 'dur', 'pois', 'pelinh']"
negative,"['receb', 'soment', 'control', 'mid', 'split', 'estil', 'falt', 'control', 'remot', 'ar', 'condicion', 'consul']"
positive,['boa']
positive,"['mt', 'lind']"
positive,"['ocorr', 'tud', 'contrat', 'send', 'entreg', 'realiz', 'antes', 'praz', 'satisfeit']"
positive,"['ame', 'ache', 'lind', 'delic', 'ador']"
positive,"['ótim', 'loj', 'parc', 'rápidíssim', 'produt', 'bem', 'embal', 'qualidad', 'cust', 'fret', 'mei', 'azed']"
positive,"['recom', 'vendedor']"
negative,"['produt', 'nã', 'cheg', 'praz', 'estipul', 'caus', 'transtorn', 'pq', 'program', 'viag', 'fér', 'filh', 'bas', 'praz', 'mor', 'bah', 'cuiab', 'sozinh', 'agor', 'cas', 'vaz']"
positive,"['produt', 'entreg', 'solicit', 'muit', 'brevidad', 'parabéns']"
3,"['compr', 'duas', 'unidad', 'receb', 'agor', 'fac']"
3,"['produt', 'bom', 'porém', 'vei', 'mim', 'nã', 'condiz', 'fot', 'anúnci']"
negative,"['produt', 'inferior', 'mal', 'acab']"
positive,"['kit', 'mochil', 'patrulh', 'canin', 'lind', 'netinh', 'vai', 'amar', 'obrig']"
positive,['maravilh']
3,"['entreg', 'praz']"
positive,"['cumpr', 'promet', 'compr', 'entreg', 'temp', 'satisfatóri']"
negative,"['ped', 'reembols', 'respost', 'moment']"
positive,"['sup', 'ráp']"
positive,['satisfeit']
positive,"['esta', 'parabens', 'sempr', 'cheg', 'muiiit', 'antecedenc', 'obrig']"
positive,"['ok', 'recom']"
3,"['produt', 'cheg', 'mas', 'pc', 'nã', 'consegu', 'reconhec', 'port', 'usb']"
positive,"['produt', 'boa', 'qualidad', 'cheg', 'antes', 'praz', 'promet']"
positive,"['entreg', 'ráp', 'parabéns']"
negative,"['compr', 'tres', 'pacot', 'cinc', 'folh', 'cad', 'papel', 'transf', 'tec', 'escur', 'so', 'receb', 'dois']"
positive,"['falt', 'apen', 'produt', 'receb', 'hoj', 'obrig', 'tud', 'cert', 'att', 'elenic']"
positive,"['bols', 'térmic', 'além', 'lind', 'sup', 'espac', 'produt', 'acord', 'anunc', 'entreg', 'sup', 'ráp', 'entreg', 'bem', 'antes', 'praz']"
negative,"['demor', 'pra', 'entreg']"
positive,"['sup', 'rap', 'entreg', 'cheg', 'antes', 'dat']"
3,"['entreg', 'divid', 'duas', 'nã', 'comunic', 'loj', 'chegu', 'pens', 'hav', 'envi', 'part', 'produt']"
negative,"['nã', 'funcion', 'nã', 'faz', 'sincron']"
positive,"['recom', 'tod', 'client']"
3,['gost']
positive,['otim']
positive,"['gost', 'jog', 'banh', 'estamp', 'flor', 'bord', 'tud', 'bonit', 'ótim', 'produt']"
negative,"['cheg', 'apen', 'pec', 'mas', 'not', 'garant', 'const', 'duas', 'joi']"
negative,"['nã', 'receb', 'produt', 'const', 'sistem', 'receb', 'além', 'pag', 'car', 'fret']"
negative,"['compr', 'relógi', 'unissex', 'envi', 'relógi', 'feminin', 'bem', 'menor', 'especific', 'anúnci']"
positive,"['sempr', 'compr', 'lannist', 'pra', 'mim', 'melhor', 'loj', 'on', 'lin']"
positive,"['produt', 'qualidad', 'excelent']"
positive,"['ótim', 'cust', 'benefíci']"
positive,['ok']
positive,"['gost', 'atençã', 'entreg']"
positive,"['vidr', 'quebr', 'vei', 'caix', 'nenhum', 'proteçã', 'dentr', 'caix', 'amass', 'desculp', 'mas', 'gost', 'compr', 'vcs']"
negative,"['pec', 'nã', 'serv']"
negative,"['compr', 'produt', 'dia', 'fevereir', 'hoj', 'dia', 'marc', 'nã', 'entreg', 'resident', 'nã', 'sei', 'correi', 'dess', 'brasil', 'péssim', 'própr', 'loj', 'demor', 'post']"
negative,"['fiz', 'compr', 'faz', 'dias', 'nã', 'receb', 'aind', 'produt', 'precis', 'melhor', 'entreg']"
positive,"['esper', 'receb', 'seman', 'nã', 'tã', 'extravag', 'porém', 'atraz', 'far', 'desist', 'baratheon']"
positive,"['entreg', 'praz', 'cert', 'fiqu', 'feliz', 'compr', 'fiz']"
positive,"['lind', 'relógi', 'ador']"
3,"['compr', 'dois', 'lustr', 'pendent', 'parceir', 'targaryen', 'envi', 'lustr', 'abri', 'reclam', 'mas', 'aind', 'nã', 'receb', 'respost', 'aguard', 'soluçã', 'part', 'loj', 'lannist']"
positive,"['bom', 'alta', 'qualidad']"
positive,"['produt', 'bonit', 'entreg', 'bem', 'val', 'dentr', 'praz', 'recom']"
positive,['bom']
negative,"['falt', 'produt', 'receb', 'vei', 'quebr']"
positive,"['cheg', 'dentr', 'praz', 'produt', 'excelent', 'qualidad', 'acab', 'dor', 'cost', 'dorm', 'bem']"
negative,"['aqu', 'descrev', 'entreg', 'ate', 'agor', 'nã', 'receb']"
positive,"['acho', 'rastr', 'produt', 'dev', 'melhor', 'precis', 'mas', 'geral', 'ótim', 'experient']"
positive,"['aind', 'nã', 'oportun', 'test']"
3,"['comec', 'usar', 'agor']"
positive,"['nad', 'declar']"
3,"['compr', 'produt', 'corret', 'cap', 'mas', 'intern', 'outr']"
3,"['entreg', 'sup', 'rap']"
3,"['fiz', 'ped', 'garraf', 'azeit', 'cheg', 'dia', 'outr', 'quas', 'hor', 'contat', 'loj', 'dificil', 'tant', 'via', 'mail', 'qto', 'telef', 'suspens', 'termin', 'mas', 'lá', 'nã', 'compr']"
positive,"['produt', 'cheg', 'rap', 'boa', 'qualidad', 'recom', 'produt']"
negative,"['nã', 'poss', 'aguard', 'cheg', 'produt', 'compr', 'log', 'acontec', 'opiniã', 'form']"
negative,"['compr', 'dois', 'produt', 'receb', 'soment', 'mand', 'dois', 'emails', 'loj', 'nã', 'nenhum', 'retorn', 'insatisfeit']"
3,"['nã', 'recomend', 'loj', 'nem', 'pret', 'volt', 'compr', 'nel', 'mercador', 'entreg', 'após', 'praz', 'quas', 'mês', 'após', 'compr', 'sit', 'lannist', 'costum', 'cheg', 'antes', 'praz', 'estranh']"
positive,['recom']
positive,"['atend', 'expect']"
positive,"['entreg', 'antes', 'praz', 'produt', 'prátic', 'fácil', 'manusei']"
positive,"['otim', 'produt', 'nao', 'vei', 'manual', 'mas', 'problem']"
positive,"['pec', 'nã', 'encaix', 'diâmetr', 'diferent', 'serr', 'martel', 'pod', 'cab', 'encaix', 'rest', 'tud', 'ok']"
positive,"['excelent', 'produt']"
positive,"['tud', 'cert']"
negative,"['demor', 'entreg', 'detest', 'atend', 'nunc', 'compr', 'baratheon', 'vend', 'mesm', 'bem', 'melhor']"
positive,"['produt', 'bom']"
negative,"['produt', 'nã', 'cheg', 'segund', 'rastrei', 'par', 'rib', 'pret', 'sp']"
negative,"['produt', 'deu', 'defeit', 'vez', 'uso']"
positive,"['sup', 'recom', 'produt', 'profissional', 'qualidad']"
negative,"['agor', 'nã', 'receb', 'produt']"
negative,"['loj', 'anunc', 'produt', 'entreg', 'outr']"
positive,"['bom', 'rap', 'vi', 'ja', 'cheg']"
positive,"['produt', 'cheg', 'bem']"
positive,['otim']
3,"['apes', 'ter', 'sid', 'entreg', 'rapid', 'substituír', 'caix', 'meteor', 'caix', 'born', 'tent', 'reclam', 'lannist', 'sistem', 'estaav', 'ar', 'guitarr', 'acessóri', 'corret']"
positive,['satisfeit']
positive,"['parabéns', 'loj', 'revendedor', 'apes', 'ter', 'demor', 'pouc']"
positive,"['entreg', 'dentr', 'praz', 'bom', 'períod', 'validad']"
positive,"['jog', 'toalh', 'lind', 'bonit', 'fot', 'ame']"
negative,"['produt', 'entreg', 'umas', 'alças', 'problem', 'falt', 'pin', 'fixaçã']"
negative,"['marc', 'dia', 'entreg', 'ped', 'rastreament', 'marc', 'produt', 'hav', 'sid', 'entreg', 'dat', 'mas', 'realidad', 'nã', 'entreg', 'produt', 'entreg', 'dia']"
negative,"['loj', 'além', 'fret', 'car', 'produt', 'lev', 'quas', 'dias', 'úte', 'cheg', 'cas']"
negative,"['receb', 'bem', 'ráp', 'porém', 'vei', 'outr', 'produt', 'nã', 'ped', 'model', 'vei', 'diferent', 'cor', 'vei', 'capinh', 'nã', 'zíp', 'enfim', 'nã', 'recom']"
positive,"['sempr', 'compr', 'stark', 'satisfeit']"
